,,open,high,low,close
BTC/USD,2025-11-06 01:20:00,103315.41000,103502.71000,103284.29000,103451.14000
BTC/USD,2025-11-06 01:15:00,103243.95000,103476.78000,103243.95000,103315.41000
BTC/USD,2025-11-06 01:10:00,103066.00000,103268.00000,103066.00000,103243.95000
BTC/USD,2025-11-06 01:05:00,103195.78000,103238.00000,102996.40000,103060.20000
BTC/USD,2025-11-06 01:00:00,103132.10000,103268.13000,103106.61000,103199.40000
BTC/USD,2025-11-06 00:55:00,103124.01000,103133.96000,103072.11000,103125.04000
BTC/USD,2025-11-06 00:50:00,103229.10000,103292.88000,103109.41000,103124.01000
BTC/USD,2025-11-06 00:45:00,103253.95000,103324.01000,103182.01000,103240.02000
BTC/USD,2025-11-06 00:40:00,103095.89000,103294.00000,103095.01000,103253.95000
BTC/USD,2025-11-06 00:35:00,103374.01000,103412.29000,103071.81000,103091.14000
BTC/USD,2025-11-06 00:30:00,103490.01000,103538.52000,103292.20000,103374.02000
BTC/USD,2025-11-06 00:25:00,103650.11000,103669.90000,103483.61000,103490.01000
BTC/USD,2025-11-06 00:20:00,103537.90000,103654.08000,103495.21000,103650.12000
BTC/USD,2025-11-06 00:15:00,103490.04000,103538.99000,103369.01000,103538.98000
BTC/USD,2025-11-06 00:10:00,103666.01000,103689.95000,103409.10000,103500.00000
BTC/USD,2025-11-06 00:05:00,103897.32000,103898.40000,103609.11000,103666.00000
BTC/USD,2025-11-06 00:00:00,104030.03000,104030.03000,103856.04000,103902.27000
BTC/USD,2025-11-05 23:55:00,103980.01000,104073.59000,103905.00000,104030.03000
BTC/USD,2025-11-05 23:50:00,104060.02000,104064.98000,103962.01000,103980.01000
BTC/USD,2025-11-05 23:45:00,103856.68000,104191.19000,103843.20000,104060.03000
BTC/USD,2025-11-05 23:40:00,103774.00000,103876.85000,103755.07000,103852.80000
BTC/USD,2025-11-05 23:35:00,103715.00000,103814.20000,103676.26000,103774.01000
BTC/USD,2025-11-05 23:30:00,103752.54000,103752.55000,103685.09000,103715.01000
BTC/USD,2025-11-05 23:25:00,103807.30000,103812.70000,103721.40000,103752.54000
BTC/USD,2025-11-05 23:20:00,103761.99000,103814.19000,103721.40000,103807.30000
BTC/USD,2025-11-05 23:15:00,103783.05000,103819.41000,103724.27000,103761.99000
BTC/USD,2025-11-05 23:10:00,103616.02000,103833.00000,103616.02000,103783.60000
BTC/USD,2025-11-05 23:05:00,103607.61000,103674.04000,103569.00000,103616.02000
BTC/USD,2025-11-05 23:00:00,103632.02000,103683.99000,103542.82000,103609.98000
BTC/USD,2025-11-05 22:55:00,103679.44000,103719.92000,103588.00000,103632.01000
BTC/USD,2025-11-05 22:50:00,103660.02000,103721.17000,103595.07000,103677.67000
BTC/USD,2025-11-05 22:45:00,103638.69000,103708.81000,103613.85000,103660.02000
BTC/USD,2025-11-05 22:40:00,103751.08000,103775.57000,103583.16000,103638.69000
BTC/USD,2025-11-05 22:35:00,103622.35000,103773.92000,103622.35000,103751.08000
BTC/USD,2025-11-05 22:30:00,103593.81000,103716.10000,103588.00000,103622.35000
BTC/USD,2025-11-05 22:25:00,103698.20000,103767.80000,103541.81000,103593.81000
BTC/USD,2025-11-05 22:20:00,103814.20000,103825.69000,103663.40000,103698.20000
BTC/USD,2025-11-05 22:15:00,103541.60000,103928.63000,103535.80000,103814.21000
BTC/USD,2025-11-05 22:10:00,103561.61000,103570.60000,103502.00000,103549.77000
BTC/USD,2025-11-05 22:05:00,103483.59000,103575.42000,103332.80000,103561.61000
BTC/USD,2025-11-05 22:00:00,103294.03000,103490.24000,103294.03000,103480.80000
BTC/USD,2025-11-05 21:55:00,103460.40000,103536.26000,103294.03000,103294.03000
BTC/USD,2025-11-05 21:50:00,103518.06000,103542.80000,103396.61000,103464.52000
BTC/USD,2025-11-05 21:45:00,103299.62000,103550.00000,103299.62000,103518.06000
BTC/USD,2025-11-05 21:40:00,103206.03000,103442.52000,103206.02000,103299.61000
BTC/USD,2025-11-05 21:35:00,103042.81000,103211.66000,103042.80000,103206.03000
BTC/USD,2025-11-05 21:30:00,102884.56000,103095.00000,102868.80000,103042.81000
BTC/USD,2025-11-05 21:25:00,102864.02000,102974.23000,102839.80000,102884.55000
BTC/USD,2025-11-05 21:20:00,103064.01000,103071.75000,102863.00000,102864.01000
BTC/USD,2025-11-05 21:15:00,102921.01000,103150.94000,102921.01000,103064.00000
BTC/USD,2025-11-05 21:10:00,103180.67000,103192.00000,102903.60000,102921.04000
BTC/USD,2025-11-05 21:05:00,103217.01000,103338.50000,103170.00000,103180.67000
BTC/USD,2025-11-05 21:00:00,103344.51000,103414.00000,103207.49000,103217.00000
BTC/USD,2025-11-05 20:55:00,103404.24000,103460.40000,103342.00000,103344.51000
BTC/USD,2025-11-05 20:50:00,103397.53000,103485.04000,103371.92000,103404.24000
BTC/USD,2025-11-05 20:45:00,103326.99000,103528.72000,103311.99000,103397.52000
BTC/USD,2025-11-05 20:40:00,103332.80000,103408.19000,103236.96000,103326.99000
BTC/USD,2025-11-05 20:35:00,103057.57000,103413.97000,103057.54000,103332.81000
BTC/USD,2025-11-05 20:30:00,102831.48000,103080.38000,102792.00000,103057.57000
BTC/USD,2025-11-05 20:25:00,102872.00000,102915.19000,102700.00000,102831.47000
BTC/USD,2025-11-05 20:20:00,102971.99000,102994.00000,102817.52000,102878.74000
BTC/USD,2025-11-05 20:15:00,103199.00000,103274.80000,102942.00000,102971.99000
BTC/USD,2025-11-05 20:10:00,103218.29000,103274.67000,103089.37000,103199.01000
BTC/USD,2025-11-05 20:05:00,103461.07000,103541.60000,103116.85000,103218.29000
BTC/USD,2025-11-05 20:00:00,103669.26000,103669.27000,103438.59000,103461.08000
BTC/USD,2025-11-05 19:55:00,103674.38000,103686.11000,103588.00000,103669.27000
BTC/USD,2025-11-05 19:50:00,103494.84000,103686.47000,103402.93000,103674.38000
BTC/USD,2025-11-05 19:45:00,103410.53000,103499.99000,103393.46000,103494.84000
BTC/USD,2025-11-05 19:40:00,103423.81000,103448.26000,103303.51000,103410.53000
BTC/USD,2025-11-05 19:35:00,103370.73000,103517.98000,103356.72000,103423.81000
BTC/USD,2025-11-05 19:30:00,103424.54000,103472.05000,103359.49000,103370.72000
BTC/USD,2025-11-05 19:25:00,103431.40000,103512.59000,103315.06000,103424.54000
BTC/USD,2025-11-05 19:20:00,103576.42000,103576.43000,103400.00000,103432.60000
BTC/USD,2025-11-05 19:15:00,103742.19000,103762.00000,103548.72000,103576.42000
BTC/USD,2025-11-05 19:10:00,103645.56000,103821.29000,103644.09000,103742.19000
BTC/USD,2025-11-05 19:05:00,103598.85000,103650.17000,103430.87000,103645.41000
BTC/USD,2025-11-05 19:00:00,103866.67000,103884.00000,103560.56000,103598.84000
BTC/USD,2025-11-05 18:55:00,103878.59000,103930.20000,103834.00000,103869.00000
BTC/USD,2025-11-05 18:50:00,103959.34000,103980.23000,103864.75000,103881.61000
BTC/USD,2025-11-05 18:45:00,104075.21000,104075.21000,103948.50000,103959.34000
BTC/USD,2025-11-05 18:40:00,103885.71000,104094.32000,103883.74000,104075.21000
BTC/USD,2025-11-05 18:35:00,103946.57000,103968.53000,103840.01000,103885.72000
BTC/USD,2025-11-05 18:30:00,103937.26000,104008.18000,103907.73000,103946.57000
BTC/USD,2025-11-05 18:25:00,103934.02000,103962.90000,103895.98000,103937.26000
BTC/USD,2025-11-05 18:20:00,103810.08000,103974.26000,103810.08000,103934.02000
BTC/USD,2025-11-05 18:15:00,103772.08000,103890.57000,103772.08000,103810.09000
BTC/USD,2025-11-05 18:10:00,103704.00000,103793.33000,103703.99000,103772.08000
BTC/USD,2025-11-05 18:05:00,103700.01000,103738.80000,103643.67000,103704.00000
BTC/USD,2025-11-05 18:00:00,103693.18000,103854.20000,103692.40000,103700.01000
BTC/USD,2025-11-05 17:55:00,103723.57000,103761.99000,103678.17000,103693.18000
BTC/USD,2025-11-05 17:50:00,103628.59000,103790.46000,103628.59000,103723.58000
BTC/USD,2025-11-05 17:45:00,103556.83000,103660.10000,103501.00000,103628.59000
BTC/USD,2025-11-05 17:40:00,103373.39000,103646.00000,103348.39000,103556.83000
BTC/USD,2025-11-05 17:35:00,103426.48000,103426.49000,103330.98000,103373.38000
BTC/USD,2025-11-05 17:30:00,103332.81000,103433.38000,103292.20000,103426.48000
BTC/USD,2025-11-05 17:25:00,103442.00000,103472.00000,103287.61000,103332.80000
BTC/USD,2025-11-05 17:20:00,103328.14000,103466.00000,103303.31000,103442.01000
BTC/USD,2025-11-05 17:15:00,103291.97000,103407.01000,103276.41000,103328.12000
BTC/USD,2025-11-05 17:10:00,103438.01000,103489.98000,103255.50000,103291.97000
BTC/USD,2025-11-05 17:05:00,103431.40000,103494.69000,103377.04000,103438.02000
BTC/USD,2025-11-05 17:00:00,103656.04000,103656.04000,103400.00000,103440.43000
BTC/USD,2025-11-05 16:55:00,103674.00000,103709.80000,103620.46000,103656.04000
BTC/USD,2025-11-05 16:50:00,103596.72000,103756.80000,103596.72000,103673.99000
BTC/USD,2025-11-05 16:45:00,103605.38000,103668.02000,103553.12000,103596.98000
BTC/USD,2025-11-05 16:40:00,103665.22000,103679.61000,103593.80000,103604.00000
BTC/USD,2025-11-05 16:35:00,103663.02000,103727.40000,103588.01000,103665.23000
BTC/USD,2025-11-05 16:30:00,103572.83000,103669.20000,103549.68000,103663.02000
BTC/USD,2025-11-05 16:25:00,103728.05000,103728.43000,103513.20000,103572.83000
BTC/USD,2025-11-05 16:20:00,103657.62000,103808.39000,103655.48000,103726.33000
BTC/USD,2025-11-05 16:15:00,103622.81000,103757.65000,103600.97000,103657.62000
BTC/USD,2025-11-05 16:10:00,103631.98000,103698.00000,103605.41000,103623.07000
BTC/USD,2025-11-05 16:05:00,103750.00000,103767.80000,103600.00000,103630.78000
BTC/USD,2025-11-05 16:00:00,103820.96000,103822.07000,103589.02000,103747.46000
BTC/USD,2025-11-05 15:55:00,103943.45000,103990.03000,103762.00000,103841.98000
BTC/USD,2025-11-05 15:50:00,103841.44000,103959.49000,103733.01000,103943.46000
BTC/USD,2025-11-05 15:45:00,103900.03000,103913.83000,103622.80000,103844.75000
BTC/USD,2025-11-05 15:40:00,103872.35000,103998.00000,103825.81000,103900.03000
